1.Basin.Name;2.Country;3.Ecoregion;4.Endorheic.Status;5.Outlet.Longitude;6.Outlet.Latitude;7.Median.Longitude;8.Median.Latitude;9.Surface.Area
Madurankuli.Aru;Sri Lanka;Indo-Malay;;79.773194;7.98264;79.83671775;7.925979912;157.3648502
Maduru.Oya;Sri Lanka;Indo-Malay;;81.51847;7.880694;81.26336883;7.705945119;1499.596783
Mae.Khlong;Thailand;Indo-Malay;;100.014423;13.35346507;99.07889853;14.68490515;28546.83171
Maehwa;South Korea;Palearctic;;129.421271;36.97563586;129.2670319;36.89211243;514.961433
Magalavatavan.Aru;Sri Lanka;Indo-Malay;;81.597084;7.719028;81.51689204;7.562214011;392.5615243
Mageonggang;South Korea;Palearctic;;126.82191;35.9081485;127.1097528;35.90420677;1407.555302
Maha.Oya;Sri Lanka;Indo-Malay;;79.842362;7.270139;80.26677475;7.287949712;1509.837656
Mahanadi;India;Indo-Malay;;86.64133434;20.24285421;82.90373047;21.29171906;135162.4098
Mahaweli.Ganga;Sri Lanka;Indo-Malay;;81.202636;8.462638999;80.92335022;7.569852005;10512.80138
Mahi;India;Indo-Malay;;75.53191126;11.69095105;75.66945367;11.72516726;404.1939885
Makarachchi.Aur;Sri Lanka;Indo-Malay;;81.390419;8.190417;81.32596123;8.167878247;105.3813595
Maksimouka;Russia;Palearctic;;137.9414169;46.09440956;137.3724683;46.0701758;2238.315425
Malala.Oya;Sri Lanka;Indo-Malay;;81.183747;6.160138;81.08829423;6.343801704;395.5983404
Malu;China;Indo-Malay;;108.0143992;21.51138591;107.9740921;21.60872601;155.5106577
Mandad;India;Indo-Malay;;72.96267424;18.25872574;73.1312497;18.31253662;232.6522328
Mandan.Aru;Sri Lanka;Indo-Malay;;81.386253;8.144584;81.33349311;8.113076724;66.20243896
Manimala;India;Indo-Malay;;76.50763591;9.01123038;76.62101348;9.096622389;258.2816627
Manjeswaram;India;Indo-Malay;;74.8880482;12.70454763;74.90895255;12.76703009;111.1475686
Maoling;China;Indo-Malay;;108.4672285;21.90837732;108.439672;22.13247629;2890.433296
Maruyama;Japan;Palearctic;;134.836946;35.656388;134.7892902;35.39966797;1305.32509
Matsuda;Japan;Palearctic;;132.711166;32.901818;132.6880814;33.0226697;242.4101562
Matsuura;Japan;Palearctic;;130.004166;33.446711;129.9909194;33.3251749;407.4271668
Maup;South Korea;Palearctic;;129.2380042;37.395985;129.1875774;37.31282206;174.1215252
